region,era_years,era_name,category,item_description
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Individual braids pulled back
West Coast,1995-2001,Shiny Suit & Aftermath Era,Pants,Very baggy Sean John denim jeans in dark wash
West Coast,1995-2001,Shiny Suit & Aftermath Era,Pants,Very baggy FUBU jeans with oversized logo embroidery
West Coast,1995-2001,Shiny Suit & Aftermath Era,Pants,Very baggy Karl Kani jeans in medium wash
West Coast,1995-2001,Shiny Suit & Aftermath Era,Pants,"Very baggy Dickies work pants, still creased sharp in khaki"
West Coast,1995-2001,Shiny Suit & Aftermath Era,Pants,Baggy wide-leg denim jeans in light wash
West Coast,1995-2001,Shiny Suit & Aftermath Era,Pants,Relaxed-fit Roca Wear denim jeans in dark indigo
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,"Oversized Kobe Bryant Los Angeles Lakers NBA jersey, late-1990s mesh with purple and gold"
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,"Oversized Shaquille O'Neal Los Angeles Lakers NBA jersey, late-1990s mesh with purple and gold"
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,"Very tall and wide plain white tee, 4XL on a medium frame"
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,Oversized throwback NBA jersey in retro colorways
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,Relaxed-fit velour tracksuit jacket with zip front in dark red
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,Relaxed-fit velour tracksuit jacket with zip front in navy blue
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,Oversized Death Row Records graphic tee in black
West Coast,1995-2001,Shiny Suit & Aftermath Era,Tops,Oversized Roca Wear logo tee
West Coast,1995-2001,Shiny Suit & Aftermath Era,Accessories,Timberland 6-inch premium boots in wheat nubuck
West Coast,1995-2001,Shiny Suit & Aftermath Era,Accessories,"Throwback fitted cap in team colors, flat brim"
West Coast,1995-2001,Shiny Suit & Aftermath Era,Accessories,Platinum chain necklace with diamond pendant
West Coast,1995-2001,Shiny Suit & Aftermath Era,Accessories,"Cartier gold-frame eyeglasses, early adoption"
West Coast,1995-2001,Shiny Suit & Aftermath Era,Accessories,All-white Nike Air Force 1 low-top sneakers
West Coast,1995-2001,Shiny Suit & Aftermath Era,Accessories,Bandana worn as a headband across the forehead
West Coast,2001-2008,Hyphy & Blog Era,Pants,"Ultra-baggy jeans in dark wash, pooling over shoes"
West Coast,2001-2008,Hyphy & Blog Era,Pants,Baggy True Religion jeans with horseshoe stitching on back pockets
West Coast,2001-2008,Hyphy & Blog Era,Pants,Baggy Evisu denim jeans with painted seagull logo on back pockets
West Coast,2001-2008,Hyphy & Blog Era,Pants,"Slim-straight jeans, early skinny adoption by Pharrell-affiliated artists"
West Coast,2001-2008,Hyphy & Blog Era,Pants,Baggy basketball shorts falling below the knee with tall crew socks
West Coast,2001-2008,Hyphy & Blog Era,Tops,Oversized graphic hoodie with bold screen-printed artwork
West Coast,2001-2008,Hyphy & Blog Era,Tops,Oversized NBA throwback jersey layered over a long-sleeve white tee
West Coast,2001-2008,Hyphy & Blog Era,Tops,Oversized NFL throwback jersey layered over a long-sleeve white tee
West Coast,2001-2008,Hyphy & Blog Era,Tops,Oversized polo shirt with popped collar in bright color
West Coast,2001-2008,Hyphy & Blog Era,Tops,"Very tall plain white tee in 5XL, hanging to mid-thigh"
West Coast,2001-2008,Hyphy & Blog Era,Tops,Oversized Bathing Ape (BAPE) full-zip shark hoodie in green camo
West Coast,2001-2008,Hyphy & Blog Era,Tops,Oversized Bathing Ape (BAPE) full-zip shark hoodie in blue camo
West Coast,2001-2008,Hyphy & Blog Era,Tops,Relaxed-fit streetwear graphic tee with bold logo
West Coast,2001-2008,Hyphy & Blog Era,Accessories,Gold and diamond grillz on top and bottom teeth
West Coast,2001-2008,Hyphy & Blog Era,Accessories,Oversized stunner shades with white plastic frames
West Coast,2001-2008,Hyphy & Blog Era,Accessories,New Era 59FIFTY fitted cap with flat brim in custom colorway
West Coast,2001-2008,Hyphy & Blog Era,Accessories,Vans Classic Slip-On sneakers in black and white checkerboard
West Coast,2001-2008,Hyphy & Blog Era,Accessories,Nike Dunk SB low-top sneakers in limited colorway
West Coast,2001-2008,Hyphy & Blog Era,Accessories,Long dreadlocks past the shoulders
West Coast,2001-2008,Hyphy & Blog Era,Accessories,Individual braids pulled back into a ponytail
West Coast,2008-2014,Blog Rap to Odd Future,Pants,"Skinny-fit jeans in dark indigo, tapered to ankle"
West Coast,2008-2014,Blog Rap to Odd Future,Pants,Slim-fit jogger pants with elastic cuffs in black
West Coast,2008-2014,Blog Rap to Odd Future,Pants,Slim-fit camo cargo pants with tapered leg
West Coast,2008-2014,Blog Rap to Odd Future,Pants,Skinny-fit colored denim jeans in bright blue
West Coast,2008-2014,Blog Rap to Odd Future,Pants,Skinny-fit colored denim jeans in forest green
West Coast,2008-2014,Blog Rap to Odd Future,Pants,Skinny-fit colored denim jeans in burgundy
West Coast,2008-2014,Blog Rap to Odd Future,Tops,Relaxed-fit Odd Future donut logo graphic tee in pastel colors
West Coast,2008-2014,Blog Rap to Odd Future,Tops,Oversized Supreme box logo tee in white
West Coast,2008-2014,Blog Rap to Odd Future,Tops,Relaxed-fit tie-dye tee in multi-color
West Coast,2008-2014,Blog Rap to Odd Future,Tops,Oversized skate-influenced graphic tee with bold print
West Coast,2008-2014,Blog Rap to Odd Future,Tops,Relaxed-fit plain pullover hoodie in muted earth tones
West Coast,2008-2014,Blog Rap to Odd Future,Tops,Relaxed-fit Supreme box logo pullover hoodie
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Vans Old Skool sneakers in black and white
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Bucket hat in solid pastel color
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Bucket hat in floral print
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Cat-eye sunglasses with tinted lenses
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,"Supreme accessories (lighter, keychain, lanyard)"
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Minimalist thin gold chain necklace
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Tall crew socks pulled up to mid-shin over skinny jeans
West Coast,2008-2014,Blog Rap to Odd Future,Accessories,Golf-inspired polo visor in pastel
West Coast,2014-2020,West Coast Luxury & TDE,Pants,Slim-fit jogger pants in black Nike Tech Fleece
West Coast,2014-2020,West Coast Luxury & TDE,Pants,Tailored slim-straight trousers in charcoal gray
West Coast,2014-2020,West Coast Luxury & TDE,Pants,Slim-fit distressed denim jeans with knee blowouts
West Coast,2014-2020,West Coast Luxury & TDE,Pants,Relaxed-fit Fear of God drawstring trousers in cream
West Coast,2014-2020,West Coast Luxury & TDE,Pants,Relaxed-fit Fear of God drawstring trousers in black
West Coast,2014-2020,West Coast Luxury & TDE,Pants,Slim-tapered jogger pants in olive green
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Oversized Fear of God silhouette pullover hoodie in sand
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Oversized Fear of God silhouette pullover hoodie in black
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Relaxed-fit bomber jacket in olive green nylon
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Relaxed-fit medium-wash denim jacket
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Relaxed-fit Marathon Clothing branded tee in white
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Relaxed-fit plain earth-tone tee in sand
West Coast,2014-2020,West Coast Luxury & TDE,Tops,Relaxed-fit plain earth-tone tee in slate gray
West Coast,2014-2020,West Coast Luxury & TDE,Tops,"Relaxed-fit vintage band tee, faded and distressed"
West Coast,2014-2020,West Coast Luxury & TDE,Tops,"Fitted leather jacket in black, moto style"
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Nike Cortez sneakers in classic white leather with red swoosh
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Air Jordan 1 high-top sneakers in bred colorway
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Air Jordan 1 high-top sneakers in Chicago colorway
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Cartier C Décor buffalo horn glasses with gold frames
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,"Minimalist gold Cuban link chain necklace, medium weight"
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Unstructured dad hat in washed denim
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,"Thick gold Cuban link chain necklace, heavy gauge"
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Versace Medusa-logo sunglasses
West Coast,2014-2020,West Coast Luxury & TDE,Accessories,Gucci rectangular frame sunglasses
West Coast,2020-Present,Post-Pandemic & Archive,Pants,Wide-leg tailored trousers in charcoal wool
West Coast,2020-Present,Post-Pandemic & Archive,Pants,"Very baggy vintage Dickies 874 work pants in khaki, revival fit"
West Coast,2020-Present,Post-Pandemic & Archive,Pants,Relaxed-fit carpenter pants with hammer loop in tan
West Coast,2020-Present,Post-Pandemic & Archive,Pants,Very baggy Rick Owens drop-crotch pants in black
West Coast,2020-Present,Post-Pandemic & Archive,Pants,Oversized Balenciaga wide-leg denim jeans in faded wash
West Coast,2020-Present,Post-Pandemic & Archive,Pants,Tailored relaxed-fit trousers with a wide leg in navy
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Oversized Balenciaga logo tee in washed black
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Oversized Vetements printed tee with distressed graphics
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Long oversized leather trench coat in black
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Relaxed-fit vintage sportswear windbreaker in retro colorblock
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Cropped bomber jacket in black nylon
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Relaxed-fit layered earth-tone palette: tan tee under olive overshirt
West Coast,2020-Present,Post-Pandemic & Archive,Tops,Oversized Maison Margiela tee in off-white
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,New Balance 550 sneakers in white with green accents
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,New Balance 2002R sneakers in rain cloud gray
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,Salomon XT-6 trail runners in silver and black
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,"Archival designer sunglasses, vintage Persol or Oakley"
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,Layered necklaces: thin gold chain with thicker silver chain
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,Chrome Hearts silver cross pendant necklace
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,Chrome Hearts silver ring with dagger motif
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,Vintage mesh trucker hat with faded logo
West Coast,2020-Present,Post-Pandemic & Archive,Accessories,Canvas tote bag in natural color
East Coast,1979-1986,Old School & B-Boy,Pants,Straight-leg Lee jeans cuffed at the ankle in dark wash
East Coast,1979-1986,Old School & B-Boy,Pants,Straight-leg Sergio Valente jeans in medium wash
East Coast,1979-1986,Old School & B-Boy,Pants,Straight-leg Jordache jeans in medium wash
East Coast,1979-1986,Old School & B-Boy,Pants,Slim-fit Sassoon denim jeans in dark indigo
East Coast,1979-1986,Old School & B-Boy,Pants,Slim-fit Adidas track pants with three-stripe detailing
East Coast,1979-1986,Old School & B-Boy,Pants,Slim-fit nylon windbreaker pants in black
East Coast,1979-1986,Old School & B-Boy,Tops,Fitted Adidas tracksuit jacket with zip front in royal blue and white
East Coast,1979-1986,Old School & B-Boy,Tops,Fitted Adidas tracksuit jacket with zip front in black and red
East Coast,1979-1986,Old School & B-Boy,Tops,Fitted Kangol bucket hat paired with a fitted black leather jacket
East Coast,1979-1986,Old School & B-Boy,Tops,Oversized sheepskin coat in tan with shearling collar
East Coast,1979-1986,Old School & B-Boy,Tops,Fitted Members Only jacket in burgundy
East Coast,1979-1986,Old School & B-Boy,Tops,Fitted Le Tigre polo shirt with embroidered tiger logo
East Coast,1979-1986,Old School & B-Boy,Tops,Fitted Puma tracksuit jacket with zip front
East Coast,1979-1986,Old School & B-Boy,Accessories,"Adidas Superstar sneakers in white with black stripes, no laces, tongue out"
East Coast,1979-1986,Old School & B-Boy,Accessories,Puma Suede sneakers in navy and white
East Coast,1979-1986,Old School & B-Boy,Accessories,"Fat gold dookie rope chain necklace, extra-heavy gauge"
East Coast,1979-1986,Old School & B-Boy,Accessories,Gold four-finger ring spelling out a name
East Coast,1979-1986,Old School & B-Boy,Accessories,Portable boombox carried on shoulder
East Coast,1979-1986,Old School & B-Boy,Accessories,Gazelle eyeglasses with clear lenses and gold frames
East Coast,1979-1986,Old School & B-Boy,Accessories,Kangol 504 flat cap in red
East Coast,1979-1986,Old School & B-Boy,Accessories,Kangol bucket hat in black
East Coast,1979-1986,Old School & B-Boy,Accessories,Cazal 607 eyeglasses with tortoise and gold frames
East Coast,1986-1992,Golden Age,Pants,Very baggy Cross Colours jeans in bright multi-color
East Coast,1986-1992,Golden Age,Pants,Very baggy Karl Kani jeans in dark wash with logo embroidery
East Coast,1986-1992,Golden Age,Pants,Baggy African-print pants in kente cloth pattern
East Coast,1986-1992,Golden Age,Pants,Baggy denim overalls with one strap down in medium wash
East Coast,1986-1992,Golden Age,Pants,Baggy cotton sweatpants in heather gray
East Coast,1986-1992,Golden Age,Pants,Relaxed-fit Guess jeans with triangle logo in light wash
East Coast,1986-1992,Golden Age,Tops,Relaxed-fit Cross Colours color-block jacket in bright primary colors
East Coast,1986-1992,Golden Age,Tops,Oversized 8-ball leather jacket in black with billiard graphic on back
East Coast,1986-1992,Golden Age,Tops,Relaxed-fit Carhartt Detroit jacket in brown duck canvas
East Coast,1986-1992,Golden Age,Tops,Relaxed-fit varsity letterman jacket in wool and leather
East Coast,1986-1992,Golden Age,Tops,Oversized pullover hoodie layered under a denim jacket
East Coast,1986-1992,Golden Age,Tops,Relaxed-fit dashiki in bright printed fabric
East Coast,1986-1992,Golden Age,Accessories,Timberland 6-inch premium boot in butter wheat nubuck
East Coast,1986-1992,Golden Age,Accessories,Clarks Wallabee shoes in sand suede
East Coast,1986-1992,Golden Age,Accessories,Large wooden Africa-shaped pendant on leather cord necklace
East Coast,1986-1992,Golden Age,Accessories,Kufi cap in embroidered fabric
East Coast,1986-1992,Golden Age,Accessories,Oversized Starter pullover jacket with NFL team logo
East Coast,1986-1992,Golden Age,Accessories,Oversized Starter pullover jacket with NBA team logo
East Coast,1986-1992,Golden Age,Accessories,British Knights high-top sneakers in white
East Coast,1986-1992,Golden Age,Accessories,"Gold bamboo hoop earrings, large diameter"
East Coast,1986-1992,Golden Age,Accessories,Red leather Africa medallion pendant on gold chain
East Coast,1992-1997,Hardcore & Mafioso,Pants,Very baggy Polo Ralph Lauren chinos in khaki
East Coast,1992-1997,Hardcore & Mafioso,Pants,Very baggy Girbaud jeans with shuttle buckle in medium wash
East Coast,1992-1997,Hardcore & Mafioso,Pants,Very baggy Tommy Hilfiger carpenter jeans in dark wash
East Coast,1992-1997,Hardcore & Mafioso,Pants,Relaxed-fit Versace silk dress pants in black with gold print
East Coast,1992-1997,Hardcore & Mafioso,Pants,Relaxed-fit linen trousers in white for summer
East Coast,1992-1997,Hardcore & Mafioso,Pants,Baggy Nautica jeans sagging at the waist in dark indigo
East Coast,1992-1997,Hardcore & Mafioso,Tops,Oversized Polo Ralph Lauren rugby shirt in bold color-block stripes
East Coast,1992-1997,Hardcore & Mafioso,Tops,Oversized Polo Ralph Lauren Snow Beach pullover jacket
East Coast,1992-1997,Hardcore & Mafioso,Tops,Oversized Coogi sweater in multi-color knit pattern
East Coast,1992-1997,Hardcore & Mafioso,Tops,Oversized Tommy Hilfiger logo tee with red-white-blue flag
East Coast,1992-1997,Hardcore & Mafioso,Tops,Oversized Tommy Hilfiger denim jacket with oversized logo
East Coast,1992-1997,Hardcore & Mafioso,Tops,Relaxed-fit Versace silk shirt with baroque print in gold and black
East Coast,1992-1997,Hardcore & Mafioso,Tops,"Long leather trench coat in black, ankle-length"
East Coast,1992-1997,Hardcore & Mafioso,Tops,Oversized North Face Nuptse puffer jacket in black
East Coast,1992-1997,Hardcore & Mafioso,Tops,Full-length mink fur coat in dark brown
East Coast,1992-1997,Hardcore & Mafioso,Accessories,Rolex Day-Date watch with gold Presidential bracelet
East Coast,1992-1997,Hardcore & Mafioso,Accessories,Versace Medusa-logo sunglasses with gold arms
East Coast,1992-1997,Hardcore & Mafioso,Accessories,"Timberland 6-inch premium boots in wheat, still dominant"
East Coast,1992-1997,Hardcore & Mafioso,Accessories,Clarks Wallabee boots in beeswax leather
East Coast,1992-1997,Hardcore & Mafioso,Accessories,New York Yankees fitted cap in navy
East Coast,1992-1997,Hardcore & Mafioso,Accessories,New York Mets fitted cap in royal blue and orange
East Coast,1992-1997,Hardcore & Mafioso,Accessories,Gold medallion pendant on thick rope chain
East Coast,1992-1997,Hardcore & Mafioso,Accessories,Guess watch with silver bracelet band
East Coast,1992-1997,Hardcore & Mafioso,Accessories,Movado Museum watch with black dial
East Coast,1997-2003,Shiny Suit Era,Pants,Tailored Sean John dress pants in silver-gray
East Coast,1997-2003,Shiny Suit Era,Pants,Baggy Rocawear denim jeans in dark wash with logo stitching
East Coast,1997-2003,Shiny Suit Era,Pants,Slim-fit black leather pants with a slight sheen
East Coast,1997-2003,Shiny Suit Era,Pants,Baggy Phat Farm denim jeans in medium wash
East Coast,1997-2003,Shiny Suit Era,Pants,Tailored linen suit pants in white
East Coast,1997-2003,Shiny Suit Era,Pants,Relaxed-fit velour track pants in deep burgundy
East Coast,1997-2003,Shiny Suit Era,Pants,Relaxed-fit velour track pants in navy blue
East Coast,1997-2003,Shiny Suit Era,Tops,Tailored shiny suit jacket in metallic silver
East Coast,1997-2003,Shiny Suit Era,Tops,Tailored shiny suit jacket in metallic royal blue
East Coast,1997-2003,Shiny Suit Era,Tops,Oversized Sean John logo tee in white
East Coast,1997-2003,Shiny Suit Era,Tops,Oversized Sean John leather jacket in black
East Coast,1997-2003,Shiny Suit Era,Tops,Full-length fur coat in white mink
East Coast,1997-2003,Shiny Suit Era,Tops,"Oversized NBA all-star game throwback jersey, late-1990s mesh with retro design"
East Coast,1997-2003,Shiny Suit Era,Tops,Relaxed-fit Versace dress shirt in silk with Medusa print
East Coast,1997-2003,Shiny Suit Era,Tops,"Relaxed-fit linen matching set in cream, shirt and pants"
East Coast,1997-2003,Shiny Suit Era,Tops,Oversized Iceberg knit sweater with cartoon character graphic
East Coast,1997-2003,Shiny Suit Era,Accessories,Iced-out diamond Jesus piece pendant on platinum chain
East Coast,1997-2003,Shiny Suit Era,Accessories,Iced-out Roc-A-Fella Records chain pendant in platinum and diamonds
East Coast,1997-2003,Shiny Suit Era,Accessories,Platinum diamond-encrusted watch
East Coast,1997-2003,Shiny Suit Era,Accessories,All-white Nike Air Force 1 low-top sneakers
East Coast,1997-2003,Shiny Suit Era,Accessories,Alligator-skin dress shoes in black
East Coast,1997-2003,Shiny Suit Era,Accessories,Cartier gold-frame rimless eyeglasses
East Coast,1997-2003,Shiny Suit Era,Accessories,Silk do-rag under a fitted cap
East Coast,1997-2003,Shiny Suit Era,Accessories,Bandana worn as do-rag in solid white
East Coast,2003-2010,Dipset to Blog Era,Pants,"Skinny-fit jeans in dark indigo, Kanye-influenced from 2007"
East Coast,2003-2010,Dipset to Blog Era,Pants,Painted-on ultra-skinny denim jeans in black
East Coast,2003-2010,Dipset to Blog Era,Pants,Baggy Bathing Ape (BAPE) camo jeans in green camo
East Coast,2003-2010,Dipset to Blog Era,Pants,Baggy True Religion jeans with flap pockets and horseshoe stitching
East Coast,2003-2010,Dipset to Blog Era,Pants,Skinny-fit colored denim jeans in bright red
East Coast,2003-2010,Dipset to Blog Era,Pants,Skinny-fit colored denim jeans in royal blue
East Coast,2003-2010,Dipset to Blog Era,Pants,Tailored slim dress pants in black for blazer pairing
East Coast,2003-2010,Dipset to Blog Era,Tops,"Oversized pink fur coat, Dipset era statement piece"
East Coast,2003-2010,Dipset to Blog Era,Tops,"Oversized fur-trimmed cape in pink, Dipset era statement piece"
East Coast,2003-2010,Dipset to Blog Era,Tops,Preppy popped-collar polo shirt layered two-deep in contrasting colors
East Coast,2003-2010,Dipset to Blog Era,Tops,Oversized Bathing Ape (BAPE) full-zip shark hoodie in purple camo
East Coast,2003-2010,Dipset to Blog Era,Tops,Relaxed-fit graphic tee with bold street art print
East Coast,2003-2010,Dipset to Blog Era,Tops,"Tailored blazer over a graphic tee, Kanye preppy era"
East Coast,2003-2010,Dipset to Blog Era,Tops,Relaxed-fit fitted cap matched to outfit color in every shade
East Coast,2003-2010,Dipset to Blog Era,Accessories,Throwback New Era fitted cap in custom colorway matching outfit
East Coast,2003-2010,Dipset to Blog Era,Accessories,Throwback New Era fitted cap in pink
East Coast,2003-2010,Dipset to Blog Era,Accessories,Iced-out diamond Jesus piece pendant on gold chain
East Coast,2003-2010,Dipset to Blog Era,Accessories,Air Jordan 3 Retro sneakers in white cement colorway
East Coast,2003-2010,Dipset to Blog Era,Accessories,Air Jordan 4 Retro sneakers in bred colorway
East Coast,2003-2010,Dipset to Blog Era,Accessories,Air Jordan 11 Retro sneakers in Concord colorway
East Coast,2003-2010,Dipset to Blog Era,Accessories,Louis Vuitton monogram print backpack
East Coast,2003-2010,Dipset to Blog Era,Accessories,Oversized aviator sunglasses with gold frames
East Coast,2003-2010,Dipset to Blog Era,Accessories,Kanye West shutter shades in white plastic
East Coast,2010-2016,A$AP & High Fashion Rap,Pants,"Slim-fit black leather pants, moto-inspired"
East Coast,2010-2016,A$AP & High Fashion Rap,Pants,Very baggy Rick Owens drop-crotch pants in black
East Coast,2010-2016,A$AP & High Fashion Rap,Pants,Slim-fit Raf Simons printed pants
East Coast,2010-2016,A$AP & High Fashion Rap,Pants,"Skinny-fit black jeans, tapered to ankle"
East Coast,2010-2016,A$AP & High Fashion Rap,Pants,Slim-fit distressed denim jeans with heavy rips at the knee
East Coast,2010-2016,A$AP & High Fashion Rap,Pants,Slim-fit jogger pants with elastic cuffs in black
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Oversized Rick Owens leather jacket in black with asymmetric zip
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Oversized Rick Owens hooded poncho in dark gray
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Oversized Raf Simons archive graphic hoodie
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Relaxed-fit Supreme x designer collab tee
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Relaxed-fit bomber jacket in black satin
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Oversized flannel shirt worn open over a black tee
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Relaxed-fit denim jacket covered in custom patches
East Coast,2010-2016,A$AP & High Fashion Rap,Tops,Fitted black turtleneck layered under chains
East Coast,2010-2016,A$AP & High Fashion Rap,Accessories,Rick Owens Geobasket high-top sneakers in black and white
East Coast,2010-2016,A$AP & High Fashion Rap,Accessories,Jeremy Scott x Adidas Wings sneakers
